DEPTH,AC,CAL,CNL,DEN,DEN_QYZ,DEN_QYZ_S,GR,GR_QYZ,GR_QYZ_S,ILD,ILM,LL8,RLLD,RLLD_QYZ,RLLD_QYZ_S,RLLS,RPL,SP,SP_S,LAYER,FACIES
1134.7,91.279,8.608,26.077,1.906,1.906,2.338,85.767,85.767,101.345,4.984,6.345,4.325,5.085,5.085,4.032,4.304,17.783,69.514,75.494,P19,J
1134.75,91.334,8.652,26.556,1.912,1.912,2.345,87.769,87.769,102.697,4.984,6.228,4.169,4.383,4.383,3.607,4.227,17.783,70.195,76.231,P19,J
1134.8,91.512,8.718,26.815,1.916,1.916,2.35,88.123,88.123,102.936,4.984,6.228,4.487,4.29,4.29,3.551,4.151,17.783,70.501,76.562,P19,J
1134.85,91.705,8.812,27.039,1.928,1.928,2.363,88.478,88.478,103.175,4.984,6.196,4.584,4.197,4.197,3.494,4.003,17.783,70.806,76.893,P19,J
1134.9,91.836,8.922,27.387,1.945,1.945,2.383,88.612,88.612,103.266,4.984,6.114,4.831,4.197,4.197,3.494,3.856,17.783,70.95,77.049,P19,J
1134.95,91.952,9.012,27.786,1.959,1.959,2.399,88.526,88.526,103.208,4.892,6.084,5.061,4.29,4.29,3.551,3.723,18.533,70.933,77.03,P19,J
1135.0,92.108,9.062,28.027,1.967,1.967,2.408,88.44,88.44,103.15,4.892,6.001,5.2,4.383,4.383,3.607,3.723,18.785,70.916,77.012,P19,J
1135.05,92.237,9.084,27.988,1.974,1.974,2.416,87.989,87.989,102.846,4.892,6.001,5.495,4.515,4.515,3.687,3.791,20.207,70.769,76.852,P19,J
1135.1,92.252,9.094,27.707,1.984,1.984,2.427,87.538,87.538,102.541,4.892,6.001,5.808,4.647,4.647,3.767,4.151,20.582,70.622,76.693,P19,J
1135.15,92.174,9.083,27.305,1.994,1.994,2.439,86.929,86.929,102.13,4.984,6.001,5.916,4.821,4.821,3.872,4.463,20.209,70.38,76.431,P19,J
1135.2,92.059,9.036,26.894,1.999,1.999,2.444,86.162,86.162,101.611,4.984,6.001,5.916,5.038,5.038,4.003,4.944,19.844,70.043,76.067,P19,J
1135.25,91.849,8.952,26.51,1.998,1.998,2.443,85.394,85.394,101.093,5.077,6.001,6.026,5.254,5.254,4.134,5.461,19.844,69.707,75.702,P19,J
1135.3,91.437,8.854,26.128,1.993,1.993,2.437,84.319,84.319,100.367,5.173,6.114,6.252,5.455,5.455,4.256,5.98,19.844,69.384,75.353,P19,J
1135.35,90.848,8.765,25.733,1.988,1.988,2.432,83.244,83.244,99.64,5.368,6.228,6.607,5.656,5.656,4.378,6.499,19.844,69.061,75.003,P19,J
1135.4,90.233,8.689,25.342,1.981,1.981,2.424,82.205,82.205,98.938,5.571,6.345,7.112,6.115,6.115,4.656,7.018,20.209,68.762,74.679,P19,J
1135.45,89.686,8.62,24.958,1.97,1.97,2.411,81.202,81.202,98.261,5.891,6.585,7.518,6.832,6.832,5.091,7.539,21.354,68.485,74.38,P19,J
1135.5,89.16,8.554,24.563,1.955,1.955,2.394,80.198,80.198,97.583,6.114,6.834,8.091,7.55,7.55,5.526,8.056,23.824,68.209,74.08,P19,J
1135.55,88.56,8.495,24.161,1.943,1.943,2.381,78.824,78.824,96.655,6.345,7.093,8.87,8.121,8.121,5.872,8.575,30.943,67.779,73.615,P19,J
1135.6,87.911,8.452,23.784,1.936,1.936,2.373,77.45,77.45,95.727,6.708,7.226,9.727,8.692,8.692,6.218,9.094,34.974,67.35,73.15,P19,J
1135.65,87.351,8.424,23.416,1.931,1.931,2.367,76.227,76.227,94.901,6.962,7.361,10.309,9.392,9.392,6.642,9.613,41.971,66.634,72.375,P19,J
1135.7,86.981,8.41,22.999,1.926,1.926,2.361,75.156,75.156,94.177,7.093,7.499,10.668,10.221,10.221,7.144,10.134,52.294,65.633,71.291,P19,J
1135.75,86.798,8.408,22.551,1.921,1.921,2.356,74.084,74.084,93.453,7.361,7.783,11.482,11.049,11.049,7.646,10.85,63.698,64.632,70.207,P19,J
1135.8,86.718,8.414,22.211,1.919,1.919,2.353,73.034,73.034,92.744,7.783,7.929,12.587,11.647,11.647,8.008,12.542,71.3,64.173,69.71,P19,J
1135.85,86.657,8.417,22.092,1.92,1.92,2.354,71.984,71.984,92.035,7.929,8.383,13.06,12.245,12.245,8.37,12.544,68.749,63.714,69.213,P19,J
1135.9,86.579,8.41,22.119,1.921,1.921,2.356,71.217,71.217,91.517,8.077,8.54,12.089,12.477,12.477,8.51,12.208,63.428,63.292,68.756,P19,J
1135.95,86.502,8.404,22.12,1.918,1.918,2.352,70.734,70.734,91.19,8.077,8.865,11.251,12.342,12.342,8.429,11.61,59.397,62.909,68.341,P19,J
1136.0,86.462,8.421,22.034,1.913,1.913,2.346,70.251,70.251,90.864,8.229,9.725,10.417,12.208,12.208,8.348,11.016,56.186,62.525,67.926,P19,J
1136.05,86.449,8.463,21.964,1.913,1.913,2.346,70.45,70.45,90.998,8.383,10.282,9.583,11.668,11.668,8.021,10.422,53.327,62.518,67.918,P19,J
1136.1,86.413,8.512,22.009,1.919,1.919,2.353,70.649,70.649,91.133,8.54,10.872,8.745,11.128,11.128,7.694,9.825,50.451,62.511,67.91,P19,J
1136.15,86.325,8.552,22.151,1.929,1.929,2.365,70.877,70.877,91.287,8.863,11.283,7.943,10.53,10.53,7.331,9.229,47.708,62.472,67.868,P19,J
1136.2,86.211,8.577,22.317,1.94,1.94,2.377,71.134,71.134,91.46,9.198,11.71,7.654,9.873,9.873,6.934,8.633,45.99,62.402,67.792,P19,J
1136.25,86.107,8.582,22.485,1.95,1.95,2.388,71.391,71.391,91.634,9.546,12.153,7.112,9.217,9.217,6.536,8.267,44.343,62.332,67.717,P19,J
1136.3,86.013,8.557,22.688,1.958,1.958,2.398,71.29,71.29,91.566,9.908,12.613,7.516,9.354,9.354,6.619,8.804,41.981,62.224,67.6,P19,J
1136.35,85.899,8.515,22.952,1.965,1.965,2.406,71.189,71.189,91.498,10.282,13.09,8.454,9.491,9.491,6.702,9.192,38.31,62.117,67.484,P19,J
1136.4,85.741,8.49,23.263,1.971,1.971,2.412,70.68,70.68,91.154,10.672,13.09,9.408,9.74,9.74,6.853,9.58,36.27,61.852,67.196,P19,J
1136.45,85.548,8.492,23.568,1.976,1.976,2.418,69.763,69.763,90.535,11.285,13.585,10.366,10.102,10.102,7.072,9.968,34.964,61.429,66.739,P19,J
1136.5,85.355,8.493,23.801,1.978,1.978,2.42,68.846,68.846,89.915,11.929,13.84,11.319,10.464,10.464,7.291,10.357,34.333,61.006,66.281,P19,J
1136.55,85.17,8.461,23.922,1.975,1.975,2.417,67.41,67.41,88.945,12.611,14.099,12.273,11.252,11.252,7.769,10.655,33.713,60.498,65.731,P19,J
1136.6,84.987,8.402,23.951,1.964,1.964,2.404,65.975,65.975,87.976,12.849,14.633,13.233,12.041,12.041,8.246,12.3,49.995,59.99,65.181,P19,J
1136.65,84.884,8.346,23.938,1.95,1.95,2.388,64.433,64.433,86.935,13.335,15.186,14.187,12.901,12.901,8.768,13.631,68.49,59.473,64.621,P19,J
1136.7,85.028,8.312,23.926,1.936,1.936,2.373,62.787,62.787,85.822,13.84,15.471,15.144,13.834,13.834,9.333,14.97,90.452,58.948,64.053,P19,J
1136.75,85.495,8.297,23.931,1.924,1.924,2.359,61.14,61.14,84.71,14.157,15.587,16.293,14.767,14.767,9.898,16.304,97.298,58.423,63.484,P19,J
1136.8,86.149,8.291,23.949,1.912,1.912,2.345,59.892,59.892,83.867,14.633,15.761,17.055,16.101,15.589,10.396,17.637,108.551,57.901,62.919,P19,J
1136.85,86.796,8.286,23.949,1.899,1.899,2.33,58.644,58.644,83.024,16.666,16.664,18.019,17.435,16.411,10.894,18.976,108.571,57.38,62.354,P19,J
1136.9,87.363,8.284,23.902,1.886,1.886,2.316,57.456,57.456,82.222,17.618,16.976,19.231,18.886,16.822,11.143,20.307,108.571,56.861,61.792,P19,J
1136.95,87.918,8.296,23.832,1.873,1.873,2.301,56.33,56.33,81.461,17.951,17.296,19.231,20.452,16.822,11.143,21.61,105.716,56.344,61.233,P19,J
1137.0,88.51,8.324,23.782,1.861,1.861,2.287,55.203,55.203,80.7,18.628,17.949,19.588,22.019,16.822,11.143,22.009,101.849,55.828,60.674,P19,J
1137.05,89.132,8.355,23.735,1.851,1.851,2.276,54.262,54.262,80.064,18.628,18.285,19.588,23.662,16.822,11.143,22.408,97.98,55.272,60.071,P19,J
